customer_id,first_name,last_name,email,phone_number,registration_date,customer_metadata
CUST-1001,Isaac,Bakshi,isaac.bakshi664@gmail.com,+91-6896233790,2024-10-08,"{""device_type"": ""Web"", ""address_state"": ""Tamil Nadu"", ""city"": ""Chennai"", ""pincode"": ""600028"", ""address"": {""address_state"": ""Tamil Nadu"", ""city"": ""Chennai"", ""pincode"": ""600028""}, ""app_version"": ""v10.8.3"", ""locale"": ""en_IN""}"
CUST-1002,Anvi,Konda,anvi.konda614@rediffmail.com,+91-6131994523,2024-04-05,"{""device_type"": ""Web"", ""address_state"": ""Tamil Nadu"", ""city"": ""Chennai"", ""pincode"": ""600001"", ""address"": {""address_state"": ""Tamil Nadu"", ""city"": ""Chennai"", ""pincode"": ""600001""}, ""app_version"": ""v11.8.14"", ""locale"": ""en_IN""}"
CUST-1003,Udant,Dewan,udant.dewan235@rediffmail.com,+91-8969119330,2024-01-07,"{""device_type"": ""Android"", ""address_state"": ""Delhi"", ""city"": ""South Delhi"", ""pincode"": ""110048"", ""address"": {""address_state"": ""Delhi"", ""city"": ""South Delhi"", ""pincode"": ""110048""}, ""app_version"": ""v12.2.7"", ""locale"": ""en_IN""}"
CUST-1004,Harsh,Chahal,harsh.chahal990@outlook.com,+91-6199585092,2025-01-24,"{""device_type"": ""Web"", ""address_state"": ""Maharashtra"", ""city"": ""Nagpur"", ""pincode"": ""440010"", ""address"": {""address_state"": ""Maharashtra"", ""city"": ""Nagpur"", ""pincode"": ""440010""}, ""app_version"": ""v12.0.15"", ""locale"": ""en_IN""}"
CUST-1005,Pahal,Balay,pahal.balay559@gmail.com,+91-9184611066,2025-07-19,"{""device_type"": ""Web"", ""address_state"": ""Telangana"", ""city"": ""Warangal"", ""pincode"": ""506001"", ""address"": {""address_state"": ""Telangana"", ""city"": ""Warangal"", ""pincode"": ""506001""}, ""app_version"": ""v10.0.8"", ""locale"": ""en_IN""}"
CUST-1006,Ayushman,Chander,ayushman.chander801@outlook.com,+91-6349957310,2024-04-13,"{""device_type"": ""Web"", ""address_state"": ""Gujarat"", ""city"": ""Surat"", ""pincode"": ""395007"", ""address"": {""address_state"": ""Gujarat"", ""city"": ""Surat"", ""pincode"": ""395007""}, ""app_version"": ""v16.5.6"", ""locale"": ""en_IN""}"
CUST-1007,Tejas,Kaul,tejas.kaul389@outlook.com,+91-7819595113,2024-09-30,"{""device_type"": ""iOS"", ""address_state"": ""Maharashtra"", ""city"": ""Pune"", ""pincode"": ""411014"", ""address"": {""address_state"": ""Maharashtra"", ""city"": ""Pune"", ""pincode"": ""411014""}, ""app_version"": ""v13.6.9"", ""locale"": ""en_IN""}"
CUST-1008,Yashasvi,Bala,yashasvi.bala957@yahoo.co.in,+91-8924970419,2026-03-05,"{""device_type"": ""Android"", ""address_state"": ""Karnataka"", ""city"": ""Mysuru"", ""pincode"": ""570001"", ""address"": {""address_state"": ""Karnataka"", ""city"": ""Mysuru"", ""pincode"": ""570001""}, ""app_version"": ""v13.4.3"", ""locale"": ""en_IN""}"
CUST-1009,Rushil,Saini,rushil.saini226@outlook.com,+91-7803771909,2025-05-26,"{""device_type"": ""iOS"", ""address_state"": ""Gujarat"", ""city"": ""Vadodara"", ""pincode"": ""390020"", ""address"": {""address_state"": ""Gujarat"", ""city"": ""Vadodara"", ""pincode"": ""390020""}, ""app_version"": ""v12.2.8"", ""locale"": ""en_IN""}"
CUST-1010,Thomas,Sen,thomas.sen772@outlook.com,+91-9726563708,2025-02-12,"{""device_type"": ""Web"", ""address_state"": ""Uttar Pradesh"", ""city"": ""Lucknow"", ""pincode"": ""226001"", ""address"": {""address_state"": ""Uttar Pradesh"", ""city"": ""Lucknow"", ""pincode"": ""226001""}, ""app_version"": ""v13.1.2"", ""locale"": ""en_IN""}"
CUST-1011,Arunima,Ahuja,arunima.ahuja891@gmail.com,+91-7773715057,2024-06-12,"{""device_type"": ""Android"", ""address_state"": ""Gujarat"", ""city"": ""Vadodara"", ""pincode"": ""390001"", ""address"": {""address_state"": ""Gujarat"", ""city"": ""Vadodara"", ""pincode"": ""390001""}, ""app_version"": ""v13.9.15"", ""locale"": ""en_IN""}"
CUST-1012,Nathaniel,Sami,nathaniel.sami551@outlook.com,+91-6830448745,2026-01-08,"{""device_type"": ""iOS"", ""address_state"": ""Maharashtra"", ""city"": ""Nagpur"", ""pincode"": ""440010"", ""address"": {""address_state"": ""Maharashtra"", ""city"": ""Nagpur"", ""pincode"": ""440010""}, ""app_version"": ""v12.6.6"", ""locale"": ""en_IN""}"
CUST-1013,Harini,Mall,harini.mall474@gmail.com,+91-8637500247,2026-02-19,"{""device_type"": ""Web"", ""address_state"": ""Delhi"", ""city"": ""South Delhi"", ""pincode"": ""110017"", ""address"": {""address_state"": ""Delhi"", ""city"": ""South Delhi"", ""pincode"": ""110017""}, ""app_version"": ""v12.8.20"", ""locale"": ""en_IN""}"
